Metric_ID,Portfolio_ID,Date,ROI,Volatility
1,45,2023-09-12,95.9,19.95
2,43,2024-09-04,108.2,30.61
3,48,2024-01-30,25.4,30.54
4,13,2024-04-16,4.3,11.72
5,22,2022-10-20,47.2,32.95
6,5,2022-02-20,65.7,15.59
7,41,2024-10-13,3.5,28.65
8,33,2022-03-15,107.1,12.59
9,49,2022-04-15,59.2,18.57
10,24,2022-09-26,73.0,29.05
11,6,2022-03-12,134.3,32.31
12,12,2024-05-06,70.7,24.82
13,31,2024-09-09,33.3,32.24
14,46,2022-01-30,12.3,30.08
15,32,2022-09-23,112.0,27.72
16,19,2024-11-15,127.8,31.28
17,39,2022-08-06,127.4,18.16
18,32,2022-02-03,68.1,18.43
19,28,2024-04-27,125.4,17.69
20,15,2023-07-06,5.1,23.61
21,3,2022-03-08,135.4,17.78
22,39,2023-08-06,147.8,27.26
23,36,2023-09-13,93.1,30.28
24,11,2024-07-19,119.4,9.84
25,36,2024-04-08,80.6,19.68
26,6,2024-08-13,140.1,13.11
27,41,2022-01-27,51.2,20.36
28,35,2023-02-03,31.1,29.7
29,30,2023-03-21,143.6,16.38
30,50,2024-01-22,92.1,9.29
31,12,2022-06-16,142.3,16.0
32,7,2023-12-10,108.4,16.15
33,11,2024-02-02,9.2,17.73
34,4,2024-06-01,31.7,19.18
35,8,2023-06-27,90.0,5.89
36,31,2024-05-15,56.8,9.52
37,18,2024-11-18,16.0,7.92
38,40,2024-09-14,52.5,6.43
39,36,2022-05-03,143.6,24.96
40,43,2024-02-03,20.3,7.18
41,29,2023-01-31,90.6,31.15
42,34,2022-03-15,20.1,30.14
43,2,2022-02-19,105.1,34.23
44,35,2024-02-06,130.9,20.52
45,21,2023-11-20,96.0,30.98
46,7,2023-11-03,3.4,33.23
47,23,2024-05-10,81.8,34.85
48,13,2022-12-06,77.3,14.63
49,34,2023-01-24,72.2,23.03
50,43,2023-11-03,102.5,28.18
51,24,2022-07-11,18.8,24.65
52,31,2024-04-24,137.9,34.27
53,30,2022-04-12,45.8,17.18
54,23,2023-08-24,124.9,17.09
55,39,2024-11-07,84.6,29.55
56,44,2022-03-31,111.0,13.36
57,5,2022-07-28,133.9,32.62
58,38,2024-05-17,43.4,12.42
59,7,2024-01-24,100.5,25.25
60,29,2022-09-11,127.4,33.49
61,35,2023-10-05,141.9,30.55
62,43,2023-03-15,99.0,7.13
63,36,2023-01-25,10.5,30.0
64,18,2023-01-20,144.6,8.74
65,23,2022-05-06,53.1,22.9
66,15,2024-05-12,72.4,33.46
67,47,2023-04-22,33.8,33.76
68,15,2024-06-25,109.2,21.58
69,5,2023-10-02,68.7,5.95
70,42,2024-10-13,16.7,23.81
71,38,2023-01-31,61.0,17.04
72,10,2022-06-22,143.7,19.53
73,12,2024-08-26,136.5,29.34
74,19,2024-06-23,75.1,30.39
75,37,2024-06-12,18.2,15.41
76,4,2022-02-22,127.6,27.79
77,11,2022-06-06,94.1,24.93
78,13,2022-10-21,58.9,24.43
79,18,2022-03-09,6.9,5.68
80,29,2024-07-19,35.3,6.0
81,39,2024-04-26,7.8,24.56
82,48,2023-01-24,22.4,27.45
83,22,2022-11-16,73.4,13.66
84,10,2022-05-30,84.0,33.89
85,28,2023-09-10,62.7,19.09
86,23,2024-07-23,145.5,11.77
87,12,2023-12-15,128.8,12.44
88,21,2023-09-30,83.2,5.37
89,5,2024-04-04,5.0,30.3
90,17,2023-06-30,101.5,17.93
91,40,2024-04-06,69.3,26.14
92,49,2024-10-10,146.6,20.93
93,20,2023-08-17,125.7,15.33
94,16,2022-03-02,139.2,14.34
95,43,2023-09-09,12.1,18.38
96,42,2022-08-21,65.5,19.31
97,18,2024-10-30,31.1,21.58
98,1,2022-12-27,16.9,6.55
99,30,2024-03-25,133.4,9.0
100,45,2022-02-05,108.5,15.03
101,25,2022-11-01,54.1,29.23
102,15,2023-05-27,5.7,28.82
103,16,2022-10-24,7.1,25.27
104,2,2022-08-22,37.0,14.05
105,17,2023-09-07,131.3,20.9
106,35,2022-04-17,81.3,11.14
107,39,2024-07-17,107.0,17.84
108,45,2024-11-13,114.6,30.92
109,17,2022-07-21,139.3,24.89
110,4,2023-05-21,82.8,19.62
111,3,2023-07-22,41.0,29.18
112,47,2024-04-03,131.0,31.2
113,18,2023-05-01,64.2,32.14
114,32,2022-11-20,103.7,15.99
115,25,2022-09-21,47.6,29.95
116,46,2023-05-17,77.8,30.06
117,47,2023-06-20,42.9,30.18
118,41,2022-12-04,100.8,18.89
119,16,2023-05-15,98.2,22.25
120,19,2022-03-15,39.6,33.91
